"numero","imagenJugador","nombreJugador","posicionJugador","nacionalidadesDelJugador"
"25","https://img.a.transfermarkt.technology/portrait/medium/353583-1668454179.jpg?lm=1","Roberto Alvarado","Mediocentro ofensivo","[""México""]"
"5","https://img.a.transfermarkt.technology/portrait/medium/325598-1579014254.jpg?lm=1","Víctor Guzmán","Mediocentro ofensivo","[""México""]"
"16","https://img.a.transfermarkt.technology/portrait/medium/647235-1678019743.jpg?lm=1","Cade Cowell","Extremo izquierdo","[""Estados Unidos"",""México""]"
"58","https://img.a.transfermarkt.technology/portrait/medium/955223-1736706102.jpg?lm=1","Hugo Camberos","Extremo derecho","[""México""]"
"31","https://img.a.transfermarkt.technology/portrait/medium/955756-1688488413.jpg?lm=1","Yael Padilla","Extremo derecho","[""México""]"
"11","https://img.a.transfermarkt.technology/portrait/medium/121166-1579697544.png?lm=1","Isaác Brizuela","Extremo derecho","[""México"",""Estados Unidos""]"
"35","https://img.a.transfermarkt.technology/portrait/medium/631331-1672493714.jpg?lm=1","Teun Wilke","Delantero centro","[""México"",""Países Bajos""]"
"34","https://img.a.transfermarkt.technology/portrait/medium/837619-1727117232.jpg?lm=1","Armando González","Delantero centro","[""México""]"
"9","https://img.a.transfermarkt.technology/portrait/medium/143045-1709930012.jpg?lm=1","Alan Pulido","Delantero centro","[""México""]"
"14","https://img.a.transfermarkt.technology/portrait/medium/50935-1678022181.jpg?lm=1","Chicharito","Delantero centro","[""México""]"
"25","https://img.a.transfermarkt.technology/portrait/medium/661481-1734594823.jpg?lm=1","Carlos Moreno","Portero","[""México""]"
"31","https://img.a.transfermarkt.technology/portrait/medium/858660-1736168693.jpg?lm=1","José Eulogio","Portero","[""México""]"
"13","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Carlos Rodas","Portero","[""México""]"
"2","https://img.a.transfermarkt.technology/portrait/medium/556047-1635922941.JPG?lm=1","Sergio Barreto","Defensa central","[""Argentina"",""Paraguay""]"
